# LAMMPS data file written by OVITO
222 atoms
143 bonds
1 atom types
1 bond types
0.0 10.0 xlo xhi
0.0 10.0 ylo yhi
0.0 10.0 zlo zhi
1.2246499e-15 1.2246499e-15 1.2246499e-15 xy xz yz

Atoms

1674 84 1 5.1047902 8.0358429 9.2863569
1675 84 1 5.3939481 8.6811161 9.2863569
1676 84 1 5.6831064 9.3263893 9.2863569
1706 86 1 4.6079617 6.9398036 6.0805078
1707 86 1 5.3150616 6.9398036 6.0805078
1721 87 1 4.6018973 8.0034065 9.9872104
1722 87 1 4.4429217 8.6596861 0.1970062
1723 87 1 4.2839465 9.3159657 0.4068012
1742 88 1 4.7238879 3.4205358 1.9218374
1743 88 1 5.2603378 3.0947964 2.2475767
1784 90 1 5.5261483 7.5196672 2.4415369
1785 90 1 4.9548298 7.5196672 2.0249007
1786 90 1 4.3835116 7.5196672 1.6082645
1810 91 1 5.3404136 9.9887466 4.675467
1811 91 1 4.8543702 9.9887466 5.1890354
1812 91 1 4.3683267 9.9887466 5.7026034
1847 93 1 4.8972994 9.0003214 8.1707077
1848 93 1 5.6009712 8.9308644 8.1741352
1861 94 1 4.2739134 3.958514 5.4165368
1862 94 1 4.9810134 3.958514 5.4165368
1863 94 1 5.6881132 3.958514 5.4165368
1905 96 1 4.3906226 5.6612263 8.8813716
1906 96 1 4.7938605 6.1562591 9.1852331
1907 96 1 5.1970983 6.6512919 9.4890957
1908 96 1 5.6003361 7.1463246 9.7929573
1961 99 1 5.0172348 7.1288815 6.8362584
1962 99 1 5.723929 7.1049337 6.8362584
2004 101 1 4.8603154 1.0780612 8.1707792
2005 101 1 5.5669847 1.1027308 8.1712103
2026 102 1 4.360579 8.3918762 5.2255573
2027 102 1 5.0676794 8.3918762 5.2255573
2047 103 1 4.4044323 0.848199 3.0601857
2048 103 1 5.0191393 1.1976633 3.0601857
2049 103 1 5.6338463 1.5471287 3.0601857
2064 104 1 4.606483 9.840335 5.0459299
2065 104 1 5.2400708 0.0623226 4.8239427
2125 107 1 4.9117508 8.8298817 3.6808157
2126 107 1 5.6063442 8.9295492 3.5936547
2161 109 1 5.3580747 9.909422 6.0469861
2201 111 1 5.2606602 3.0016723 4.1647005
2202 111 1 4.6245795 3.0016723 4.4735561
2224 112 1 4.3051043 1.2245724 0.9373582
2225 112 1 4.999034 1.2245724 1.0731968
2226 112 1 5.6929636 1.2245724 1.2090355
2288 115 1 4.3087902 1.7197676 5.6075926
2289 115 1 4.922802 2.0704527 5.6075926
2290 115 1 5.5368138 2.4211378 5.6075926
2324 117 1 4.2918162 5.6695485 3.2353153
2325 117 1 4.995267 5.6731982 3.3069728
2326 117 1 5.6987171 5.676848 3.3786299
2365 119 1 4.5545454 7.2493281 9.9481412
2366 119 1 5.2616453 7.2493281 9.9481412
2384 120 1 4.7914586 3.5772546 8.3913937
2385 120 1 5.4985585 3.5772546 8.3913937
2401 121 1 5.1356373 0.151572 5.4184771
2402 121 1 4.4977908 0.3673755 5.2026739
2461 124 1 5.4238119 7.7955985 2.7133951
2487 125 1 4.6569963 0.773691 3.689915
2488 125 1 5.3640962 0.773691 3.689915
2514 126 1 4.4304638 9.3949518 5.3276501
2515 126 1 4.6479988 8.9334384 5.817215
2516 126 1 4.8655338 8.4719239 6.3067799
2517 126 1 5.0830693 8.0104103 6.7963448
2518 126 1 5.3006044 7.5488963 7.2859097
2519 126 1 5.5181394 7.0873823 7.7754746
2520 126 1 5.7356749 6.6258683 8.2650395
2547 128 1 5.4183416 4.1447764 3.8681778
2548 128 1 5.0602107 3.5350776 3.8681778
2549 128 1 4.7020803 2.9253786 3.8681778
2550 128 1 4.3439493 2.3156796 3.8681778
2581 130 1 5.7007141 8.6217442 6.5902009
2582 130 1 5.4698806 9.0322027 7.1176758
2583 130 1 5.2390466 9.4426623 7.6451507
2584 130 1 5.008213 9.8531208 8.1726255
2585 130 1 4.7773795 0.2635794 8.7001
2586 130 1 4.5465455 0.6740389 9.2275753
2587 130 1 4.315712 1.0844975 9.7550497
2621 132 1 5.0744038 5.5043221 0.0815401
2622 132 1 5.2158461 6.1971312 0.0815401
2623 132 1 5.3572884 6.8899404 0.0815401
2624 132 1 5.4987302 7.5827494 0.0815401
2625 132 1 5.6401725 8.2755585 0.0815401
2641 133 1 4.7700787 5.7553292 8.9430266
2642 133 1 4.5815888 6.0250497 9.5688963
2643 133 1 4.3930988 6.2947698 0.1947661
2702 136 1 4.8412294 0.7435089 3.7628863
2703 136 1 5.5482426 0.7356687 3.7707265
2724 137 1 4.946581 4.8107677 0.8692624
2725 137 1 5.6536808 4.8107677 0.8692624
2761 139 1 4.5073915 1.3399905 1.5785297
2905 146 1 4.5305825 2.0640142 9.5006447
2906 146 1 5.1681976 2.3616877 9.5701294
2985 150 1 5.1693878 9.156332 1.4930938
2986 150 1 4.4696627 9.2581892 1.4930938

Bonds

1 1 5 6
2 1 6 7
3 1 26 27
4 1 45 46
5 1 46 47
6 1 136 137
7 1 137 138
8 1 138 139
9 1 139 140
10 1 221 222
11 1 222 223
12 1 246 247
13 1 247 248
14 1 310 311
15 1 311 312
16 1 312 313
17 1 313 314
18 1 314 315
19 1 324 325
20 1 345 346
21 1 346 347
22 1 426 427
23 1 447 448
24 1 448 449
25 1 517 518
26 1 518 519
27 1 519 520
28 1 522 523
29 1 584 585
30 1 668 669
31 1 669 670
32 1 724 725
33 1 743 744
34 1 776 777
35 1 777 778
36 1 778 779
37 1 779 780
38 1 803 804
39 1 886 887
40 1 924 925
41 1 925 926
42 1 926 927
43 1 927 928
44 1 928 929
45 1 929 930
46 1 941 942
47 1 942 943
48 1 943 944
49 1 944 945
50 1 945 946
51 1 946 947
52 1 947 948
53 1 948 949
54 1 949 950
55 1 950 951
56 1 951 952
57 1 952 953
58 1 1024 1025
59 1 1025 1026
60 1 1106 1107
61 1 1107 1108
62 1 1108 1109
63 1 1109 1110
64 1 1141 1142
65 1 1243 1244
66 1 1262 1263
67 1 1263 1264
68 1 1302 1303
69 1 1347 1348
70 1 1367 1368
71 1 1427 1428
72 1 1428 1429
73 1 1429 1430
74 1 1446 1447
75 1 1501 1502
76 1 1547 1548
77 1 1564 1565
78 1 1565 1566
79 1 1603 1604
80 1 1621 1622
81 1 1622 1623
82 1 1647 1648
83 1 1672 1673
84 1 1673 1674
85 1 1674 1675
86 1 1675 1676
87 1 1706 1707
88 1 1721 1722
89 1 1722 1723
90 1 1742 1743
91 1 1784 1785
92 1 1785 1786
93 1 1810 1811
94 1 1811 1812
95 1 1847 1848
96 1 1861 1862
97 1 1862 1863
98 1 1905 1906
99 1 1906 1907
100 1 1907 1908
101 1 1961 1962
102 1 2004 2005
103 1 2026 2027
104 1 2047 2048
105 1 2048 2049
106 1 2064 2065
107 1 2125 2126
108 1 2201 2202
109 1 2224 2225
110 1 2225 2226
111 1 2288 2289
112 1 2289 2290
113 1 2324 2325
114 1 2325 2326
115 1 2365 2366
116 1 2384 2385
117 1 2401 2402
118 1 2487 2488
119 1 2514 2515
120 1 2515 2516
121 1 2516 2517
122 1 2517 2518
123 1 2518 2519
124 1 2519 2520
125 1 2547 2548
126 1 2548 2549
127 1 2549 2550
128 1 2581 2582
129 1 2582 2583
130 1 2583 2584
131 1 2584 2585
132 1 2585 2586
133 1 2586 2587
134 1 2621 2622
135 1 2622 2623
136 1 2623 2624
137 1 2624 2625
138 1 2641 2642
139 1 2642 2643
140 1 2702 2703
141 1 2724 2725
142 1 2905 2906
143 1 2985 2986
